idCosteo,Tipo,idHijo,Nombre,Medida,idTipoFase,Nombre,idCosteo,dni,Cantidad,CostoUnitario,CostoTotal,FechaRegistro
6,V,0,ALIMENTACIÓN,,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
7,V,6,"Forraje verde / Desidratado",Kilos,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
8,V,6,"Forraje verde / Desidratado","Paquete (11Kls.)",2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
9,V,6,"Forraje verde (Consumo Per-Cápita)","diario (gr.)",2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
10,V,6,"Forraje verde (Consumo Per-Cápita)","diario (gr.)",2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
11,V,6,Concentrados/suplemento,Kilos,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
12,V,6,Concentrados/suplemento,"Sacos (49Kls.)",2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
13,V,6,"Concentrados/suplemento (Consumo Per-Cápita)","diario (gr.)",2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
14,V,0,VACUNAS,,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
15,V,14,"Antiparasitarios, etc",Unid.,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
16,V,14,"Antiparasitarios, etc",Veces,2,LACTANCIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
1,V,0,"COSTOS VARIABLES",,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
2,V,1,"EMPADRE (Macho)",Und.,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
3,V,1,"EMPADRE (Hembra)",Und.,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
4,V,1,"No. de partos por hembra",Veces,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
5,V,1,"No. de gazapos por hembra",Und.,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
6,V,0,ALIMENTACIÓN,,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
7,V,6,"Forraje verde / Desidratado",Kilos,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
8,V,6,"Forraje verde / Desidratado","Paquete (11Kls.)",3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
9,V,6,"Forraje verde (Consumo Per-Cápita)","diario (gr.)",3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
10,V,6,"Forraje verde (Consumo Per-Cápita)","diario (gr.)",3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
11,V,6,Concentrados/suplemento,Kilos,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
12,V,6,Concentrados/suplemento,"Sacos (49Kls.)",3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
13,V,6,"Concentrados/suplemento (Consumo Per-Cápita)","diario (gr.)",3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
14,V,0,VACUNAS,,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
15,V,14,"Antiparasitarios, etc",Unid.,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
16,V,14,"Antiparasitarios, etc",Veces,3,RECRIA,0,,0,0.00,0.00,"2021-04-20 11:01:16"
1,V,0,"COSTOS VARIABLES",,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
2,V,1,"EMPADRE (Macho)",Und.,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
3,V,1,"EMPADRE (Hembra)",Und.,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
4,V,1,"No. de partos por hembra",Veces,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
5,V,1,"No. de gazapos por hembra",Und.,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
6,V,0,ALIMENTACIÓN,,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
7,V,6,"Forraje verde / Desidratado",Kilos,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
8,V,6,"Forraje verde / Desidratado","Paquete (11Kls.)",4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
9,V,6,"Forraje verde (Consumo Per-Cápita)","diario (gr.)",4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
10,V,6,"Forraje verde (Consumo Per-Cápita)","diario (gr.)",4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
11,V,6,Concentrados/suplemento,Kilos,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
12,V,6,Concentrados/suplemento,"Sacos (49Kls.)",4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
13,V,6,"Concentrados/suplemento (Consumo Per-Cápita)","diario (gr.)",4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
14,V,0,VACUNAS,,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
15,V,14,"Antiparasitarios, etc",Unid.,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
16,V,14,"Antiparasitarios, etc",Veces,4,ENGORDE,0,,0,0.00,0.00,"2021-04-20 11:01:16"
