idCosteo,Tipo,idHijo,ElementoCosto,Medida,idTipoFase,NombreFase,idCosteo,dni,Cantidad,CostoUnitario,CostoTotal,FechaRegistro
9,V,6,Forraje verde (Consumo Per-Cápita),diario (gr.),2,LACTANCIA,0,,0,0,0,25/04/2021
9,V,6,Forraje verde (Consumo Per-Cápita),diario (gr.),3,RECRIA,0,,0,0,0,25/04/2021
9,V,6,Forraje verde (Consumo Per-Cápita),diario (gr.),4,ENGORDE,0,,0,0,0,25/04/2021
10,V,6,Forraje verde (Consumo Per-Cápita),diario (gr.),1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
10,V,6,Forraje verde (Consumo Per-Cápita),diario (gr.),2,LACTANCIA,0,,0,0,0,25/04/2021
10,V,6,Forraje verde (Consumo Per-Cápita),diario (gr.),3,RECRIA,0,,0,0,0,25/04/2021
10,V,6,Forraje verde (Consumo Per-Cápita),diario (gr.),4,ENGORDE,0,,0,0,0,25/04/2021
11,V,6,Concentrados/suplemento,Kilos,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
11,V,6,Concentrados/suplemento,Kilos,2,LACTANCIA,0,,0,0,0,25/04/2021
11,V,6,Concentrados/suplemento,Kilos,3,RECRIA,0,,0,0,0,25/04/2021
11,V,6,Concentrados/suplemento,Kilos,4,ENGORDE,0,,0,0,0,25/04/2021
12,V,6,Concentrados/suplemento,Sacos (49Kls.),1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
12,V,6,Concentrados/suplemento,Sacos (49Kls.),2,LACTANCIA,0,,0,0,0,25/04/2021
12,V,6,Concentrados/suplemento,Sacos (49Kls.),3,RECRIA,0,,0,0,0,25/04/2021
12,V,6,Concentrados/suplemento,Sacos (49Kls.),4,ENGORDE,0,,0,0,0,25/04/2021
13,V,6,Concentrados/suplemento (Consumo Per-Cápita),diario (gr.),1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
13,V,6,Concentrados/suplemento (Consumo Per-Cápita),diario (gr.),2,LACTANCIA,0,,0,0,0,25/04/2021
13,V,6,Concentrados/suplemento (Consumo Per-Cápita),diario (gr.),3,RECRIA,0,,0,0,0,25/04/2021
13,V,6,Concentrados/suplemento (Consumo Per-Cápita),diario (gr.),4,ENGORDE,0,,0,0,0,25/04/2021
14,V,0,VACUNAS,,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
14,V,0,VACUNAS,,2,LACTANCIA,0,,0,0,0,25/04/2021
14,V,0,VACUNAS,,3,RECRIA,0,,0,0,0,25/04/2021
14,V,0,VACUNAS,,4,ENGORDE,0,,0,0,0,25/04/2021
15,V,14,"Antiparasitarios, etc",Unid.,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
15,V,14,"Antiparasitarios, etc",Unid.,2,LACTANCIA,0,,0,0,0,25/04/2021
15,V,14,"Antiparasitarios, etc",Unid.,3,RECRIA,0,,0,0,0,25/04/2021
15,V,14,"Antiparasitarios, etc",Unid.,4,ENGORDE,0,,0,0,0,25/04/2021
16,V,14,"Antiparasitarios, etc",Veces,1,REPRODUCCIÓN,0,,0,0,0,25/04/2021
16,V,14,"Antiparasitarios, etc",Veces,2,LACTANCIA,0,,0,0,0,25/04/2021
16,V,14,"Antiparasitarios, etc",Veces,3,RECRIA,0,,0,0,0,25/04/2021
16,V,14,"Antiparasitarios, etc",Veces,4,ENGORDE,0,,0,0,0,25/04/2021
